,best_NN_score_alpha2
0,8.21628
1,16.976336
2,12.600581
3,7.352694
4,18.579575
5,8.923692
6,13.189686
7,11.701679
8,5.100963
9,7.223849
10,6.1013556
11,6.1369176
12,16.58516
13,11.384863
14,9.191349
15,7.3425565
16,4.6179895
17,9.227037
18,12.845659
19,5.4117184
20,10.714938
21,22.72012
22,12.285207
23,8.070166
24,15.109392
25,11.481001
26,15.691
27,4.836084
28,10.429873
29,12.533392
30,15.871521
31,12.665361
32,12.829323
33,14.362922
34,15.646614
35,16.99844
36,21.539099
37,10.026518
38,15.944727
39,16.7303
40,4.592611
41,12.555416
42,10.994583
43,5.5234723
44,18.501223
45,17.097708
46,12.096397
47,9.371206
48,11.403006
49,12.285755
50,10.19809
51,11.278177
52,11.371199
53,21.40714
54,10.744093
55,20.587645
56,12.590827
57,12.872394
58,13.043495
59,11.366758
60,19.331758
61,17.08796
62,14.132039
63,12.564718
64,4.735067
65,14.453424
66,14.498395
67,11.039184
68,13.002416
69,5.018438
70,8.737043
71,10.294651
72,14.376411
73,12.4871855
74,21.210999
75,11.223053
76,14.349352
77,10.996316
78,13.31506
79,6.432638
80,5.3206
81,13.528595
82,10.361013
83,11.11235
84,17.78282
85,10.74972
86,21.88875
87,10.381901
88,11.079359
89,13.096637
90,18.529127
91,5.1577044
92,7.652758
93,4.461892
94,8.937921
95,21.357206
96,18.76707
97,21.3949
98,17.104864
99,6.7099433
100,9.783509
101,21.663261
102,21.395716
103,5.162777
104,15.536331
105,13.777033
106,13.173002
107,9.700933
108,12.547421
109,6.08443
110,22.428177
111,7.731427
112,17.77304
113,5.423403
114,12.724785
115,20.95431
116,12.302608
117,6.8013015
118,18.105453
119,15.157446
120,10.2866335
121,16.845587
122,5.1300864
123,12.027516
124,20.915184
125,11.5250635
126,11.346127
127,23.00854
128,6.3869205
129,12.0378685
130,11.546221
131,12.92956
132,11.1813
133,12.899871
134,11.950424
135,21.779247
136,14.297716
137,10.135042
138,9.703889
139,6.7018385
140,12.617895
141,18.956678
142,9.042114
143,14.480103
144,17.841494
145,17.154789
146,12.348355
147,16.381392
148,8.503859
149,13.840574
150,11.676766
151,5.959693
152,3.2934527
153,10.963713
154,12.821081
155,8.229233
156,8.773987
157,8.870708
158,12.571342
159,6.6559806
160,5.5561485
161,13.391542
162,9.844679
163,11.424017
164,16.271385
165,6.0440493
166,5.076613
167,14.325424
168,15.091813
169,12.722251
170,12.186127
171,12.182444
172,7.0312753
173,14.021324
174,16.223557
175,15.381319
176,17.216255
177,5.2887654
178,4.5747275
179,3.4466681
180,13.135893
181,15.754075
182,12.621025
183,10.219431
184,5.0964365
185,5.8016467
186,6.8384914
187,14.517786
188,20.330637
189,6.174592
190,14.994782
191,11.465651
192,11.189707
193,3.953051
194,5.761908
195,15.686523
196,9.997581
197,5.0108056
198,4.621886
199,16.24261
200,12.943696
201,20.494844
202,4.1817007
203,5.647568
204,7.4250646
205,3.0968547
206,7.2198167
207,12.342395
208,17.658873
209,15.6728325
210,5.8653374
211,18.775753
212,10.822781
213,15.713096
214,23.790632
215,13.676329
216,14.138112
217,4.14407
218,5.8065057
219,13.245127
220,4.8678794
221,6.270021
222,3.9429088
223,11.116555
224,10.507084
225,12.527147
226,15.033903
227,16.93596
228,15.956685
229,14.973692
230,8.371244
231,10.760698
232,8.264401
233,13.230399
234,5.7942348
235,3.731063
236,14.981557
237,13.494206
238,20.29874
239,19.910398
240,19.570812
241,10.949926
242,10.949881
243,10.075827
244,10.684219
245,17.968496
246,12.069151
247,5.971518
248,13.545309
249,18.628452
250,11.81346
251,5.4399962
252,9.219946
253,12.070574
254,5.8951526
255,11.594322
256,12.912539
257,12.368147
258,11.26354
259,18.467804
260,15.891744
261,4.966356
262,12.791237
263,12.063679
264,11.782091
265,5.4200964
266,10.556349
267,11.764195
268,9.911328
269,5.65185
270,12.367986
271,7.7574334
272,12.616274
273,16.912363
274,12.707958
275,6.2819552
276,29.832518
277,4.82319
278,15.391273
279,13.083399
280,12.552557
281,10.559525
282,18.614527
283,14.240978
284,11.366068
285,7.8281293
286,11.880167
287,13.981646
288,11.436981
289,13.894746
290,12.376184
291,20.468328
292,13.283035
293,15.225596
294,5.181714
295,11.328047
296,11.581804
297,13.340877
298,18.66568
299,13.038939
300,13.977015
301,11.664492
302,10.987997
303,9.685894
304,13.014261
305,12.923685
306,14.519883
307,12.0389805
308,5.4103255
309,12.445836
310,14.976338
311,13.937636
312,18.338993
313,20.874603
314,21.503368
315,9.924868
316,12.717771
317,10.649589
318,15.338793
319,19.935541
320,12.3415165
321,13.868746
322,17.790339
323,12.246771
324,10.175844
325,13.042244
326,18.8862
327,11.452106
328,17.436567
329,15.375211
330,13.686425
331,14.505228
332,12.779322
333,15.6606
334,13.043132
335,6.357145
336,11.36868
337,23.431122
338,17.397171
339,6.360664
340,15.117199
341,13.38434
342,5.966148
343,17.334154
344,7.303012
345,15.076428
346,12.901739
347,16.378927
348,15.2401705
349,14.117902
350,14.352552
351,12.025097
352,12.879908
353,12.73673
354,18.052818
355,7.3598948
356,10.496327
357,5.330529
358,10.765846
359,14.069471
360,11.654127
361,13.423868
362,10.38516
363,9.882094
364,9.856485
365,15.628313
366,16.353943
367,7.272284
368,12.7894535
369,6.230208
370,18.217016
371,12.104418
372,9.276096
373,17.89613
374,10.417769
375,8.986944
376,16.084564
377,18.777042
378,6.752503
379,19.252455
380,6.2417836
