,best_NN_score_alpha3
0,9.822489
1,16.574108
2,14.146536
3,7.686505
4,21.642635
5,10.481651
6,15.112856
7,13.791798
8,6.053768
9,8.416441
10,7.329296
11,6.868582
12,19.346989
13,12.630899
14,9.867182
15,9.9535
16,5.369835
17,10.126996
18,14.683371
19,6.2912416
20,12.251324
21,23.486572
22,13.833344
23,9.3598995
24,15.691518
25,12.405811
26,17.655436
27,5.5345054
28,11.016777
29,13.634236
30,18.499233
31,12.79302
32,14.419846
33,16.22226
34,17.726444
35,19.394972
36,24.122482
37,11.154407
38,17.089148
39,18.211868
40,5.2822537
41,14.238224
42,12.505867
43,6.885973
44,20.735027
45,18.045113
46,13.376122
47,10.707344
48,12.548777
49,13.119949
50,11.248825
51,12.061497
52,12.540283
53,23.105549
54,12.275223
55,23.55029
56,13.921175
57,13.702062
58,14.445795
59,12.142883
60,22.129673
61,18.603233
62,15.050142
63,13.653481
64,5.621142
65,16.927658
66,15.143084
67,12.26783
68,14.795782
69,5.9343123
70,9.939949
71,10.910036
72,16.79728
73,13.741172
74,22.407967
75,12.987883
76,15.00492
77,11.853117
78,15.445663
79,7.218354
80,6.094705
81,15.206944
82,11.853513
83,12.407537
84,19.660427
85,11.604343
86,24.733372
87,11.787482
88,12.112342
89,13.9727745
90,20.173336
91,6.122152
92,7.8977294
93,4.9931974
94,10.40055
95,25.701616
96,21.95274
97,24.352037
98,19.941204
99,7.894353
100,12.007432
101,25.099358
102,23.271246
103,5.5842996
104,17.273956
105,15.327276
106,15.373695
107,10.331439
108,13.292404
109,6.790312
110,23.723568
111,8.479507
112,20.416449
113,6.3555136
114,13.968134
115,23.22403
116,13.69839
117,7.585158
118,20.135098
119,17.061762
120,11.328419
121,19.896896
122,6.0462236
123,13.477495
124,23.715576
125,12.584428
126,13.055082
127,24.828726
128,7.4633465
129,14.578101
130,13.200134
131,15.518746
132,12.424866
133,14.860952
134,13.762605
135,24.381815
136,15.960249
137,11.2688465
138,11.586009
139,7.1489305
140,14.217646
141,20.052683
142,10.256365
143,16.592054
144,20.670898
145,19.379152
146,13.336304
147,19.572239
148,9.253854
149,14.76829
150,12.772154
151,6.479111
152,3.7253482
153,12.146638
154,14.142785
155,9.925648
156,9.942515
157,10.197388
158,14.504184
159,7.574498
160,6.668301
161,15.020123
162,11.185169
163,13.139978
164,19.277931
165,7.2625723
166,5.680461
167,16.43015
168,16.932455
169,14.478836
170,13.403978
171,13.183613
172,8.527623
173,16.370043
174,19.025427
175,18.57952
176,19.37685
177,6.1083546
178,5.2614098
179,3.972344
180,15.084051
181,17.999378
182,14.197725
183,10.696701
184,5.986564
185,6.555565
186,7.507245
187,16.060274
188,23.013027
189,6.923552
190,15.528404
191,13.287241
192,12.771993
193,4.4783564
194,6.485033
195,17.380058
196,10.816343
197,5.7853675
198,5.290937
199,18.275394
200,14.2686825
201,23.644333
202,5.069462
203,6.4902687
204,9.265473
205,3.8792758
206,8.803123
207,12.861883
208,20.667385
209,19.022198
210,6.685376
211,20.74352
212,12.972734
213,17.532398
214,26.642673
215,16.173601
216,16.259302
217,4.8033624
218,6.0901165
219,14.500289
220,5.760795
221,7.762182
222,4.650036
223,12.745184
224,12.100441
225,14.96012
226,18.056633
227,18.818304
228,18.345497
229,16.955763
230,10.663153
231,12.075338
232,9.244785
233,14.906992
234,6.5336714
235,4.522307
236,17.46865
237,15.202206
238,23.84584
239,21.890348
240,21.686996
241,12.409814
242,12.222542
243,12.402686
244,12.127245
245,20.466772
246,13.588319
247,6.5344563
248,15.247065
249,21.768023
250,12.951882
251,5.8902655
252,10.392975
253,12.955712
254,6.566828
255,12.345736
256,14.002508
257,14.015607
258,12.866901
259,20.156654
260,18.891983
261,5.6425653
262,14.563387
263,13.249357
264,13.36771
265,6.1442127
266,11.441644
267,12.816532
268,11.282638
269,6.467011
270,13.236635
271,10.33778
272,13.770622
273,19.775103
274,14.209085
275,6.934819
276,35.368515
277,5.756097
278,17.94983
279,14.91816
280,13.905135
281,11.500418
282,21.591509
283,16.390787
284,13.734771
285,8.428732
286,13.227304
287,16.121769
288,12.700713
289,17.13462
290,13.377497
291,23.55294
292,14.612001
293,18.27367
294,6.090948
295,13.028491
296,12.666198
297,14.469513
298,20.272953
299,15.438348
300,17.367859
301,12.942406
302,11.864864
303,11.228433
304,14.439215
305,14.623267
306,17.019257
307,13.340619
308,6.2241573
309,13.722069
310,17.739395
311,15.866057
312,20.752844
313,23.482113
314,23.388897
315,11.279847
316,14.404187
317,11.932159
318,19.367132
319,23.107826
320,13.46809
321,15.152915
322,21.887287
323,13.228381
324,11.20838
325,13.658102
326,21.13711
327,12.586321
328,19.555382
329,17.858303
330,15.563749
331,16.481403
332,13.941434
333,17.850697
334,15.218735
335,6.9679956
336,12.363117
337,25.958963
338,19.67554
339,6.9665174
340,18.685022
341,14.894725
342,7.1019454
343,19.824692
344,7.6450434
345,16.846054
346,14.556389
347,18.063854
348,15.835224
349,16.24338
350,15.808336
351,13.327625
352,15.349925
353,13.491997
354,20.326889
355,8.093518
356,11.7943
357,6.0512924
358,11.453081
359,17.075274
360,12.828727
361,14.606568
362,11.317663
363,11.542559
364,10.724136
365,16.928268
366,18.082445
367,8.450213
368,13.396386
369,7.750168
370,21.372265
371,13.946228
372,11.530157
373,20.797436
374,10.936094
375,10.072816
376,17.853922
377,19.72091
378,7.2974463
379,21.751223
380,6.9013453
381,14.206383
382,6.141382
383,23.42262
384,13.061275
385,16.8866
386,24.729065
387,8.404243
388,7.7205105
389,17.181622
390,10.582275
391,17.999237
392,19.080326
393,15.128712
394,11.974339
395,17.88209
396,17.092857
397,23.822968
398,15.650812
399,19.924566
400,16.888166
401,14.684608
402,18.927132
403,12.613903
404,6.5151753
405,12.412006
406,6.1592717
407,14.903756
408,11.866173
409,10.314234
410,12.112679
411,14.684804
412,8.063125
413,23.817684
414,8.007063
415,14.968515
416,14.926128
417,12.866896
418,21.037338
419,24.292358
420,14.789297
421,14.8256645
422,4.803458
423,18.954487
424,15.706459
425,16.390783
426,16.499357
427,15.075503
428,11.5571995
429,18.113085
430,12.894981
431,12.12202
432,7.047093
433,10.834503
434,9.396694
435,10.0850525
436,12.027882
437,15.427233
438,18.550365
439,6.5994234
440,22.635948
441,12.873522
